sequence_id,visible_filename,thermal_filename,visible_exists,thermal_exists,notes
0568,DJI_20260602140422_0568_V.JPG,DJI_20260602140422_0568_T.JPG,yes,yes,
0569,DJI_20260602140423_0569_V.JPG,DJI_20260602140423_0569_T.JPG,yes,yes,
0570,DJI_20260602140424_0570_V.JPG,DJI_20260602140424_0570_T.JPG,yes,yes,
0571,DJI_20260602140424_0571_V.JPG,DJI_20260602140424_0571_T.JPG,yes,yes,
0572,DJI_20260602140425_0572_V.JPG,DJI_20260602140425_0572_T.JPG,yes,yes,
0573,DJI_20260602140426_0573_V.JPG,DJI_20260602140426_0573_T.JPG,yes,yes,
0574,DJI_20260602140426_0574_V.JPG,DJI_20260602140427_0574_T.JPG,yes,yes,
0575,DJI_20260602140427_0575_V.JPG,DJI_20260602140427_0575_T.JPG,yes,yes,
0576,DJI_20260602140428_0576_V.JPG,DJI_20260602140428_0576_T.JPG,yes,yes,
0577,DJI_20260602140428_0577_V.JPG,DJI_20260602140429_0577_T.JPG,yes,yes,
0578,DJI_20260602140429_0578_V.JPG,DJI_20260602140429_0578_T.JPG,yes,yes,
0579,DJI_20260602140430_0579_V.JPG,DJI_20260602140430_0579_T.JPG,yes,yes,
0580,DJI_20260602140431_0580_V.JPG,DJI_20260602140431_0580_T.JPG,yes,yes,
0581,DJI_20260602140431_0581_V.JPG,DJI_20260602140431_0581_T.JPG,yes,yes,
0582,DJI_20260602140432_0582_V.JPG,DJI_20260602140432_0582_T.JPG,yes,yes,
0583,DJI_20260602140433_0583_V.JPG,DJI_20260602140433_0583_T.JPG,yes,yes,
0584,DJI_20260602140433_0584_V.JPG,DJI_20260602140434_0584_T.JPG,yes,yes,
0585,DJI_20260602140434_0585_V.JPG,DJI_20260602140434_0585_T.JPG,yes,yes,
0586,DJI_20260602140435_0586_V.JPG,DJI_20260602140435_0586_T.JPG,yes,yes,
0587,DJI_20260602140435_0587_V.JPG,DJI_20260602140436_0587_T.JPG,yes,yes,
0588,DJI_20260602140436_0588_V.JPG,DJI_20260602140436_0588_T.JPG,yes,yes,
